ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0065008,regulation of biological quality,98/2001,250/6449,0.392,1.2633723138430786,2.8486098706718175,0.0031408238009800514,0.039340537536363275,0.03419552305792342,YGL008C/YGL253W/YBL030C/YPL240C/YMR186W/YGR285C/YPR194C/YBR235W/YHR205W/YLR447C/YMR162C/YDR258C/YDR457W/YIR033W/YGR240C/YPR042C/YLR270W/YBL105C/YAR014C/YKR021W/YBR212W/YOR335C/YKL204W/YLR403W/YNL055C/YLR259C/YGL222C/YMR304W/YOR181W/YMR205C/YER049W/YJL102W/YAL026C/YOR049C/YPL055C/YHR039C-A/YMR216C/YCR093W/YJR091C/YCR088W/YCR089W/YDL075W/YPL063W/YDR391C/YNL157W/YML028W/YOR270C/YJL050W/YBR058C/YJL084C/YEL027W/YAL021C/YPL040C/YGL094C/YJL140W/YBR189W/YDL185W/YGL016W/YKL053C-A/YHR060W/YER133W/YGR197C/YNR047W/YHR064C/YIL048W/YNL197C/YHR071W/YCL005W-A/YHR020W/YHR114W/YJR033C/YHR034C/YNL244C/YMR056C/YOR001W/YNL227C/YPR149W/YBL076C/YIL062C/YDL065C/YDR202C/YBL032W/YDL229W/YNL112W/YPL036W/YOL115W/YMR054W/YLR138W/YNL040W/YNL209W/YLR342W/YKL208W/YMR034C/YJR059W/YDR156W/YGR092W/YNL180C/YDR374C,98
GO:0048583,regulation of response to stimulus,73/2001,179/6449,0.40782122905027934,1.3143623718866824,2.8607306654783327,0.0032166217910567564,0.03999799270618402,0.03476699525497654,YKR034W/YGL008C/YGL253W/YOL109W/YER124C/YBR050C/YAL056W/YHR205W/YJR138W/YLR178C/YFR010W/YKL203C/YHL023C/YER155C/YPR095C/YKL032C/YPL115C/YOL138C/YKL176C/YPL256C/YGL227W/YBR140C/YER075C/YKR028W/YBR279W/YLR096W/YLR179C/YDL020C/YOR360C/YMR311C/YOL113W/YMR001C/YEL022W/YLR228C/YHL007C/YMR291W/YPL179W/YOR371C/YDR128W/YEL062W/YDR122W/YDR264C/YLR332W/YJR031C/YIL033C/YNL127W/YIL122W/YNL201C/YLR399C/YNL229C/YPR040W/YER089C/YLR361C/YLR452C/YMR028W/YBL104C/YER125W/YDR103W/YJL092W/YGL035C/YJR143C/YGR271C-A/YGR057C/YOR123C/YBL046W/YGL086W/YNL298W/YBL016W/YLR238W/YDR200C/YPL209C/YNL180C/YCR027C,73
GO:0034655,nucleobase-containing compound catabolic process,93/2001,236/6449,0.3940677966101695,1.2700365918735548,2.8345336185307413,0.003304166466808781,0.0407910047269343,0.03545629597476746,YJL052W/YCR012W/YKL152C/YHR174W/YKL060C/YAL038W/YGL253W/YLR377C/YGR254W/YBR196C/YDL007W/YNR001C/YIR033W/YGR240C/YPL075W/YPR042C/YGL048C/YLR270W/YBL105C/YGR048W/YBR212W/YKL204W/YDR050C/YGL222C/YLR192C/YDR293C/YMR205C/YER049W/YNL023C/YHR202W/YJR119C/YNL147W/YCR093W/YDR206W/YJR091C/YKR096W/YOL123W/YIL151C/YLR446W/YPL029W/YNL157W/YNL001W/YOL136C/YJL050W/YKL009W/YBR242W/YMR080C/YAL021C/YGL094C/YJL140W/YOR344C/YGL101W/YGR122W/YOR330C/YNL197C/YDL102W/YDL021W/YPL190C/YER146W/YJL208C/YKL023W/YER112W/YPR164W/YOR001W/YLR154C/YLR398C/YBR170C/YNL221C/YDR315C/YBL032W/YER125W/YOR166C/YLR363C/YIL161W/YNL112W/YOL115W/YER005W/YJL087C/YGR271C-A/YHR081W/YLR233C/YKL208W/YOL056W/YLR145W/YOR163W/YNR024W/YBR252W/YOR347C/YAL033W/YNL072W/YMR323W/YHR062C/YDR374C,93
GO:0006511,ubiquitin-dependent protein catabolic process,77/2001,191/6449,0.4031413612565445,1.2992796795319617,2.8159815420069028,0.0036169480640731292,0.04433344912821065,0.03853545418640319,YPL106C/YLR024C/YFR004W/YDR363W-A/YPR103W/YBR101C/YAL005C/YEL037C/YFR010W/YDL007W/YDR457W/YNL007C/YMR247C/YLL024C/YOR261C/YGL048C/YGR048W/YHR200W/YNL155W/YPL002C/YOL038W/YJL144W/YDR394W/YHR027C/YGL011C/YBR158W/YHL048W/YFR052W/YER021W/YBR173C/YDR427W/YJR161C/YKL054C/YGL227W/YGR253C/YBL041W/YJL048C/YMR276W/YDR358W/YOR157C/YIL075C/YBR290W/YBR169C/YPL176C/YBR058C/YNL172W/YHL002W/YNL336W/YGR184C/YOR371C/YGL141W/YOR257W/YLR352W/YDR219C/YDR054C/YGR003W/YDR273W/YFL009W/YBR082C/YKR017C/YJL149W/YNR075W/YPL009C/YGL116W/YKL034W/YBR170C/YER125W/YBL084C/YGR066C/YOR042W/YGL240W/YCL008C/YGR225W/YKR023W/YDR131C/YKL219W/YGL263W,77
GO:0006753,nucleoside phosphate metabolic process,99/2001,254/6449,0.38976377952755903,1.2561652244743768,2.7936374530646244,0.003675216151531913,0.044728162525026684,0.0388785463734283,YJL052W/YCR012W/YKL152C/YHR174W/YKL060C/YAL038W/YJR010W/YKL001C/YML081C-A/YJR121W/YGL253W/YML075C/YLR377C/YKL016C/YPL271W/YMR105C/YBR117C/YOL077W-A/YGR254W/YMR246W/YNL141W/YJL116C/YGR043C/YFL018C/YHR183W/YOR374W/YCR026C/YBR196C/YNL241C/YNR001C/YMR170C/YNR016C/YMR271C/YGR240C/YPL075W/YMR207C/YNL071W/YDR322C-A/YLR153C/YDL055C/YBL099W/YPL061W/YLR295C/YNR043W/YDR050C/Q0085/YNL129W/YKL181W/YMR205C/YDR148C/YJL005W/YLR231C/YER099C/YHR202W/YIL009W/YGL037C/YGR180C/YPR020W/YNL200C/YLR446W/YNR012W/YMR315W/YLR014C/YLR450W/YHR074W/YOL136C/YIL155C/YOL061W/YLR043C/YGR204W/YBR242W/YOR344C/YDL185W/YDR399W/YGL101W/YJR133W/YLR174W/YMR169C/YDL021W/YPR021C/YCL047C/YIL020C/YPR106W/YJR105W/YGR010W/Q0130/YER005W/YGR061C/YJR019C/YOR074C/YFL017C/YOL056W/YBL039C/YMR208W/YOR163W/YBR252W/YJR078W/YOR347C/YMR323W,99
GO:0035967,cellular response to topologically incorrect protein,25/2001,50/6449,0.5,1.6114442778610694,2.9109818764607587,0.003792941239297079,0.0451497429388942,0.03924499186873579,YLR024C/YBR101C/YNL007C/YNL305C/YGR048W/YOR052C/YFL031W/YJL082W/YJL034W/YLR259C/YHR079C/YLR096W/YGR184C/YDR122W/YLR332W/YHR029C/YBR082C/YDR411C/YBR170C/YER089C/YLR361C/YBR162W-A/YJL087C/YJR143C/YFL044C,25
GO:1990748,cellular detoxification,23/2001,45/6449,0.5111111111111111,1.6472541507024263,2.922194431598565,0.0037960843337397875,0.0451497429388942,0.03924499186873579,YGR088W/YER132C/YHR055C/YHR008C/YDL168W/YKR076W/YCL035C/YBL064C/YOR391C/YLR109W/YLR364W/YJR111C/YML028W/YPL280W/YDR513W/YNL229C/YMR322C/YKL026C/YHR106W/YGR154C/YKL071W/YEL066W/YKL086W,23
GO:0006754,ATP biosynthetic process,12/2001,19/6449,0.631578947368421,2.035508561508719,3.031647321358779,0.0038151006562585424,0.0451497429388942,0.03924499186873579,YML081C-A/YJR121W/YKL016C/YPL271W/YOL077W-A/YJL116C/YDR322C-A/YBL099W/YLR295C/Q0085/YPR020W/Q0130,12
GO:0015986,proton motive force-driven ATP synthesis,12/2001,19/6449,0.631578947368421,2.035508561508719,3.031647321358779,0.0038151006562585424,0.0451497429388942,0.03924499186873579,YML081C-A/YJR121W/YKL016C/YPL271W/YOL077W-A/YJL116C/YDR322C-A/YBL099W/YLR295C/Q0085/YPR020W/Q0130,12
GO:0009117,nucleotide metabolic process,76/2001,189/6449,0.4021164021164021,1.295976350449114,2.769838296889953,0.004133890419878898,0.048288906389687365,0.04197361081719237,YJL052W/YCR012W/YKL152C/YHR174W/YKL060C/YAL038W/YJR010W/YKL001C/YML081C-A/YJR121W/YGL253W/YLR377C/YKL016C/YPL271W/YBR117C/YOL077W-A/YGR254W/YNL141W/YJL116C/YGR043C/YHR183W/YOR374W/YBR196C/YNL241C/YMR271C/YGR240C/YPL075W/YDR322C-A/YBL099W/YPL061W/YLR295C/YDR050C/Q0085/YNL129W/YKL181W/YMR205C/YJL005W/YLR231C/YER099C/YHR202W/YGL037C/YGR180C/YPR020W/YNL200C/YLR446W/YNR012W/YMR315W/YLR014C/YHR074W/YOL136C/YIL155C/YOL061W/YLR043C/YGR204W/YOR344C/YDL185W/YDR399W/YJR133W/YLR174W/YDL021W/YPR021C/YCL047C/YIL020C/YJR105W/YGR010W/Q0130/YER005W/YGR061C/YOR074C/YOL056W/YBL039C/YOR163W/YBR252W/YJR078W/YOR347C/YMR323W,76
