gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YDR191W,15.056299683822996,0.3982908608548164,0.4398576361750985,0.29752884163465515,0.3901359291783321
YDL033C,23.396341660244424,-0.35549909809073466,0.3783865576583481,0.29887612645510153,0.39182120377080465
YER045C,266.0474424268283,0.22713465441648467,0.2257570883667166,0.2993032796764196,0.39221834636990865
YFR034W-A,1.5390600961578997,0.36697088859871985,0.9164682573954619,0.2992640570798353,0.39221834636990865
YEL004W,27.34691745642882,-0.3273347400679702,0.3413673150070544,0.29945786361077914,0.3923395038800976
YHL005C,3.7334730737064463,0.4993672346007064,0.7587073103190773,0.2996103366739556,0.39245784610994183
YOR368W,30.26391150836873,0.3226605818674268,0.335149701543764,0.2997486615317743,0.39255761044652737
YLL004W,24.371275015664636,0.3380066129920958,0.35479244619551653,0.3005986146822054,0.39358910464817065
YOL066C,64.2665218840502,0.2468637863317828,0.24795208248089495,0.3007773115930272,0.3937137042524272
YOR077W,9.997776678925426,-0.43418274254231937,0.5019410540958813,0.30081846761962966,0.3937137042524272
YER071C,36.01099833191093,-0.3022439009919358,0.3117194162604525,0.3010969625671127,0.3939965434337581
YDR334W,194.67960313003042,0.1917667265501413,0.1891948436608157,0.30138541790955586,0.3940473942233634
YER078W-A,1.899392165687659,0.4801858027985668,0.8422170265874379,0.301211841541858,0.3940473942233634
YOR265W,33.77839529565125,0.3227317513493988,0.33627694884535836,0.30130048311284086,0.3940473942233634
YPL228W,53.67989524822548,0.29159909891708513,0.29865815758172337,0.30137957021663614,0.3940473942233634
YJL160C,3.5294687862302223,0.4975802160177453,0.6857122210637351,0.30150340085246763,0.39412005307044773
YLR055C,41.246542495474316,0.2939677381066309,0.3030649369135864,0.30158394096976776,0.3941437473559775
YCL034W,122.2446567232146,-0.20214981494329742,0.20117369114623082,0.3016797428544701,0.394187373500099
YHR139C-A,3.964181499205308,0.49530708034514653,0.671435676320688,0.30186409779620416,0.3943466647875526
YLR135W,44.55819103929327,-0.32260028955894154,0.33832494927067847,0.30218876714679815,0.3946891550221366
YBR223C,15.159636778745472,-0.3946370461895744,0.43841202440950355,0.30230512665304343,0.3947594861071069
YKL146W,198.90546632069857,-0.23363194491888056,0.23519777251377727,0.3027009251312615,0.395194612818672
YMR066W,77.66427092923682,-0.22324971284550502,0.2243818170231973,0.3031510227168088,0.3957004358116263
YKL119C,31.679892141271676,0.31659200375985813,0.3313224978287289,0.30335396360182953,0.3958835048864545
YNL226W,2.5129173341053685,-0.4853191080249167,0.8262692714074243,0.30419088551044665,0.39689368636332034
YHL018W,4.519831021872734,-0.5008645332207554,0.7535544548080061,0.3045923468301914,0.3973353997588636
YDR007W,48.97623978333384,-0.2849345087285939,0.2952570140856613,0.30483115470151456,0.39740064862511654
YDR140W,54.83164499029315,-0.27717431861087155,0.2859022335811538,0.3047364302970493,0.39740064862511654
YML079W,44.265798346519254,0.2818211705949519,0.290756301799953,0.3048079207843247,0.39740064862511654
YBL035C,30.915228632400108,-0.3111360875496518,0.3261657256500868,0.3051517909505202,0.3976544696352734
YCR028C-A,104.0348464898827,-0.25831351823075294,0.26396309158877984,0.3050947802228448,0.3976544696352734
YKL098W,36.03928861599815,-0.34803418530268543,0.37626279877553276,0.30568563554801176,0.398267957187063
YJR050W,61.624026549254324,0.3062375105767713,0.32030792238071415,0.30585573013112616,0.39840737124134934
YDL233W,31.97652911046398,0.29716572409642306,0.3090470169462108,0.30607630050711276,0.39861246395182864
YJR016C,420.7947284611758,0.21645444095149188,0.2174854128719066,0.3062060520451657,0.39869922034334465
YGL106W,72.02194716023767,0.2601837222314454,0.26615078111348406,0.3068783392374526,0.39949221032457494
YPR069C,168.49046594866982,-0.23019005627898131,0.23352941535550006,0.3069734226359831,0.39953362818347754
YFL041W,117.88508105437008,0.23029844216867768,0.23330341630848506,0.30723242413505647,0.3997883285417024
YKR020W,18.49328255067416,-0.3948029025916811,0.4437066974154867,0.30743587155841967,0.39997064872093535
YHR173C,6.056936000830847,0.4869156213446031,0.6681030489703844,0.3083424869235581,0.4010675190365128
YML032C,61.58215843116044,0.25839711588859593,0.26510235982760316,0.308895899527761,0.4016219076627158
YMR098C,101.92377895088194,0.21580417346214492,0.21827957917588064,0.3088836204849989,0.4016219076627158
YDR265W,36.33276979824625,-0.28499354350938105,0.2981019398675231,0.30934595446056484,0.4021242697444353
YCR095W-A,1.959527733234804,-0.4817494124849458,0.8213584706574316,0.3103402644523751,0.40325439584077466
YOL118C,13.1903788827266,-0.4188660937657056,0.48906885263541366,0.3103430504807862,0.40325439584077466
YMR242C,371.07366040526324,0.22524770060006818,0.2294577165020289,0.3106502799118661,0.40357056524242635
YDL139C,36.328699511407976,0.32624998133010014,0.34908788762929877,0.311037915073441,0.4039910394259111
YLR030W,9.910293906912294,0.4104114210492881,0.4738983100158804,0.3112543430703841,0.40418901428942533
YDR386W,49.26376238026563,0.25987922546803505,0.2684932686329596,0.31142032383689067,0.40432141139596306
YBR200W-A,5.480909749940333,-0.4854070525350542,0.6817062475521783,0.31250552915244023,0.40541227712195144
YDR179W-A,23.999221592117088,-0.3352965209763386,0.36213515124037,0.312338915034794,0.40541227712195144
YEL002C,220.43308683801706,-0.19940382573969598,0.20317968291185962,0.31244777876629054,0.40541227712195144
YHR209W,35.50312613140315,-0.3234454764870167,0.3494776890204711,0.31251733412979565,0.40541227712195144
YBL080C,34.258891960748045,0.2862641792264924,0.30056830420678954,0.31268917458301254,0.40546861139460455
YNL249C,33.10435966870197,-0.31531416329114165,0.3362591247847243,0.31267078502984236,0.40546861139460455
YER148W-A,9.606132393941957,0.4691716825660398,0.6129901470236452,0.3132379830450572,0.40609687188042215
YNL177C,101.69612936413675,0.23302602556320615,0.23918134382320497,0.31352615060424716,0.4063870363435593
YER046W,37.33391709695317,0.281957769228803,0.2961780173073955,0.3139078751434442,0.4067181736672514
YPL172C,52.42074197264416,0.24837588463036764,0.2573578949689617,0.31391043205925306,0.4067181736672514
YLR016C,39.641920556719604,-0.2860232688135076,0.30200478583232215,0.3140318422548016,0.4067920171977583
YDR036C,134.2361404502978,-0.20381951596635786,0.208628916720549,0.31451413526633226,0.4073332166133897
YDR518W,67.75149592077538,0.24489816744789125,0.2538945229739545,0.31467820738876445,0.4074621446914184
YDR198C,23.996560426259396,-0.3508176664970505,0.3862054531853742,0.3151593406299102,0.40800148341080006
YCR041W,8.236866095502986,0.4838682608711022,0.7289203586184482,0.31523339465435657,0.4080079642640404
YOR250C,22.14998295854147,-0.3701476434724768,0.4138123080352762,0.3152935654170257,0.4080079642640404
YIL104C,26.75984283528711,-0.31904504512939336,0.34501349038915247,0.3155046553900421,0.40819747977629905
YNL028W,2.388811520027724,-0.481974626685101,0.8190535372286509,0.3158788732632318,0.4085979280330415
YLR146C,30.121664387355185,-0.33640126509220286,0.36915256580565253,0.31630263685498194,0.4090622878843357
YDR012W,538.1955657653729,-0.25741874605870635,0.27038138235661496,0.3164066210429587,0.4091129835967003
YBR280C,58.75442243573732,-0.2756540647898617,0.2920474542487868,0.3166846839791896,0.4093321422680884
YGL136C,55.40260091622326,-0.24777921880638823,0.25810281594200635,0.31670575568042436,0.4093321422680884
YLL007C,58.36910885977035,-0.23901533645121395,0.24888341238750264,0.3168933459039104,0.4094907876781653
YLL049W,31.64660958626893,-0.32645590330855717,0.3541909318427994,0.31699874013653445,0.4095431759333501
YGR126W,14.467907603925637,-0.38181781740953574,0.4386417998910631,0.3174074105567967,0.4099872770845104
YCL001W-A,1.3494953503916194,-0.38669748116012376,0.8853192904441171,0.31755952589810565,0.4100998785371242
YDR105C,143.57991825941247,-0.23353888181604932,0.2438379544241923,0.3180992560529334,0.4106326681612171
YHR122W,53.381807118604065,0.3165071648263689,0.34326731464797716,0.31810213976954455,0.4106326681612171
YLL017W,5.411528446676358,-0.46568107137165854,0.6355890386193139,0.3191168969562448,0.41185841084788183
YKL059C,58.75920599357382,-0.235442171220098,0.24672131689272164,0.3200135450280978,0.4129312498676824
YLR442C,69.49473104346968,-0.2429485257640183,0.25544741320777753,0.32037380285789646,0.4133116578238235
YPL182C,9.087406278552512,-0.44291812466022684,0.5599899619928521,0.3204398107688579,0.4133123784733124
YDR118W-A,1.886016188734795,-0.47379942370913714,0.7981352028098246,0.32087379511005404,0.41378762836838706
YOL093W,22.872679894613874,0.3560891395113103,0.39940325745626076,0.3210824310693007,0.4139387851009926
YOR066W,78.83040061684395,-0.22554012787812464,0.23404349189789056,0.321122107396637,0.4139387851009926
YBR085W,2.8755162920484882,-0.48093910779277455,0.761538605114506,0.32134945593906294,0.4140628064181152
YOR126C,25.894462094210517,-0.3006430281069662,0.326187038469802,0.32129357515165685,0.4140628064181152
YNR027W,13.291608345492705,0.40752784677799037,0.487518614762731,0.32158597931240535,0.41428303944468375
YOR122C,366.509638761348,0.20486505332040514,0.21247648927343699,0.3216847547671471,0.4143257651141207
YIR011C,71.66207644539399,-0.2143832460801222,0.2242302022454639,0.3222611372791481,0.414983499575412
YNL137C,226.0693277030238,0.17077165703957073,0.17574904330482877,0.3224742158865458,0.41517322595790757
YDL132W,182.76468865544726,0.16715692969730955,0.17232936288538994,0.3236582123013735,0.4166126397642017
YER087C-A,17.16408191295154,0.3445354132167387,0.3874417999277459,0.3239683519602027,0.41692686827566333
YBR014C,63.61543898942854,0.25705306794663296,0.2740202494135595,0.32441364428941794,0.4174148662770322
YFL023W,143.7877355530526,0.3679100460182576,0.42249416871855816,0.3246258121977413,0.4176027712423582
YKL046C,172.53526388578098,-0.17621084582280516,0.1832555966293662,0.32506884163331423,0.41808752238582064
YPR136C,3.5670103099876025,0.4712497122797663,0.7775344986840177,0.3252522697640668,0.4182382576990596
YLR110C,7632.215712942285,0.2680491442059318,0.2956468750778721,0.3254070063522856,0.41835204501520434
YOL124C,20.696870087928787,0.33540965866593986,0.3764360141406876,0.326223593729451,0.4193165060861964
YOL080C,15.889647551573692,0.36674122825083516,0.42423516068591893,0.3266515414402041,0.4197811323147922
YBR205W,62.51135270772491,-0.29747661961517036,0.32792947204064277,0.32677350553947987,0.4198524287857203
YNL148C,12.862509680587054,-0.3995788485947112,0.4808568788261975,0.3268619012429808,0.4198805749286867
YDL192W,292.0906179976123,0.196038830535989,0.2052205763751091,0.3272634663257873,0.4203109192286652
YER181C,1.8751214633927296,-0.46535425898199434,0.7981903630499273,0.32749770815326235,0.4205262356624343
YMR165C,63.48511271781754,0.28811800826507317,0.3141713609687787,0.3280321859438857,0.42112690673625497
YLR195C,113.28209294814675,0.1947235701327465,0.20419162342504962,0.3283355071354278,0.42143063568297284
YIL068W-A,16.209293372397063,-0.38917372464448713,0.46784044387985113,0.32865328033076124,0.42175278709383407
YOL069W,35.46199814885132,0.30426619787212567,0.3354250538709974,0.3288212645451962,0.4218826260875486
YER076C,8.559949154866198,-0.4291692676353385,0.5443238672119316,0.32935078000212475,0.4224761681319151
YBL009W,19.748600749950253,0.34632435958152585,0.39595614189210754,0.3296006507584449,0.422619741649631
YPL192C,20.98013048893102,0.3200497070175764,0.357502013237118,0.329663475434059,0.422619741649631
YPR080W,8185.404160831574,0.18484124796334853,0.19380380015468776,0.3296480308402094,0.422619741649631
YNL204C,11.140607896233998,-0.41593235546667423,0.5268511649788862,0.3298413597336861,0.42276196198868027
YGR171C,40.01211853374341,0.28178344680077094,0.3091450514177962,0.33011988003436316,0.42303308490604774
YBR261C,31.66348710822425,0.31975987351008667,0.35818136109157234,0.3302814994253768,0.423154325191977
YIL056W,543.0365893152349,0.18310757252826548,0.19253373317975103,0.331509807917849,0.4246418736310784
YLR282C,2.062372744029918,-0.40860071667985465,0.863284916392369,0.33243794552302014,0.42574439788640683
YCR048W,10.689328365209812,-0.41651605469255265,0.5244416580141773,0.33252624754448584,0.4257711381272158
YHL020C,94.06702612320315,0.21201780650980706,0.22622780895586173,0.33269643484523,0.425902693299742
YIR034C,129.40244718097833,0.23836598616402604,0.25701567064844877,0.3334958668164072,0.4268395620076229
YEL021W,67.81660889348447,0.23881854325706803,0.25793115172412767,0.33364871674969665,0.4269486618590343
YOR004W,32.52837383795364,0.3038676177344009,0.33921820328942504,0.33371894795260654,0.42695201708280195
YDR129C,381.19673219756294,0.16942896818820993,0.1788913498798016,0.3345402664090428,0.42791609932613023
YIL132C,9.769107594501332,-0.3972047789962822,0.49061242746150513,0.3351741978112406,0.4286401496917749
YBR003W,112.80172864401843,-0.20092545125249023,0.21408399986999013,0.33673600902714057,0.4305502929755806
YBR033W,80.52921325874718,0.21846985277983189,0.23567282900189848,0.33701473558882644,0.4308194443812629
YDR297W,250.64360256331,0.1594017575463609,0.16884732667362798,0.33723915924938835,0.43101908331509564
YPR200C,15.653284867107272,-0.37524007065055565,0.45152258616539154,0.3375112841989104,0.43127959524810183
YLL018C-A,15.36518896610399,-0.37773965622055494,0.4567658787252005,0.33776947864216533,0.43152220465815777
YBR292C,8.182132380496727,0.42347593414552004,0.55014199105996,0.33829080263993494,0.4321008128380237
YIR020C-B,5.506360751067511,0.45798468125598807,0.6854531898969404,0.3386870301876572,0.4325194328887877
YDR533C,1299.8420482371214,-0.1938457122800488,0.20732547802091397,0.33898628488890653,0.43281406976818537
YDR235W,37.15037306860606,0.28576313885202637,0.31929227204180816,0.3392352637606795,0.43295688978348645
YGL004C,42.32493387191072,0.25608483080953814,0.28205678376456733,0.3391915400564185,0.43295688978348645
YJL200C,115.68086734236898,0.22196025545387388,0.24097034438912332,0.3393161343326523,0.4329725981634066
YCR025C,7.600701398890411,-0.4214007528123433,0.5494458628048342,0.3395290286738577,0.4331567305202852
YGL162W,2.4624450415067627,0.44308056742554613,0.7893476723901108,0.3400046235316398,0.433675862977642
